Report Refresh Date,Send,Receive,Read,Report Date,Report Period
2021-02-12,,26,,2021-02-12,180
2021-02-12,,1,,2021-02-11,180
2021-02-12,,36,,2021-02-10,180
2021-02-12,,58,,2021-02-09,180
2021-02-12,,86,1,2021-02-08,180
2021-02-12,,3,,2021-02-07,180
2021-02-12,,1,,2021-02-06,180
2021-02-12,,140,,2021-02-05,180
2021-02-12,3,279,13,2021-02-04,180
2021-02-12,3,155,9,2021-02-03,180
2021-02-12,,60,,2021-02-02,180
2021-02-12,7,26,,2021-02-01,180
2021-02-12,,3,,2021-01-31,180
2021-02-12,,3,,2021-01-30,180
2021-02-12,,16,,2021-01-29,180
2021-02-12,12,35,,2021-01-28,180
2021-02-12,3,343,10,2021-01-27,180
2021-02-12,7,141,33,2021-01-26,180
2021-02-12,11,91,20,2021-01-25,180
2021-02-12,,,,2021-01-24,180
2021-02-12,,1,,2021-01-23,180
2021-02-12,6,8,7,2021-01-22,180
2021-02-12,2,17,4,2021-01-21,180
2021-02-12,16,23,,2021-01-20,180
2021-02-12,20,22,,2021-01-19,180
2021-02-12,23,40,2,2021-01-18,180
2021-02-12,,,,2021-01-17,180
2021-02-12,,2,,2021-01-16,180
2021-02-12,,1,,2021-01-15,180
2021-02-12,,14,,2021-01-14,180
2021-02-12,28,51,5,2021-01-13,180
2021-02-12,14,31,,2021-01-12,180
2021-02-12,28,43,,2021-01-11,180
2021-02-12,,,,2021-01-10,180
2021-02-12,,8,,2021-01-09,180
2021-02-12,27,45,1,2021-01-08,180
2021-02-12,31,35,11,2021-01-07,180
2021-02-12,36,47,,2021-01-06,180
2021-02-12,26,50,,2021-01-05,180
2021-02-12,42,59,,2021-01-04,180
2021-02-12,,,,2021-01-03,180
2021-02-12,,,,2021-01-02,180
2021-02-12,,1,,2021-01-01,180
2021-02-12,42,96,,2020-12-31,180
2021-02-12,16,15,,2020-12-30,180
2021-02-12,12,36,,2020-12-29,180
2021-02-12,12,24,,2020-12-28,180
2021-02-12,,,,2020-12-27,180
2021-02-12,,,,2020-12-26,180
2021-02-12,,2,,2020-12-25,180
2021-02-12,22,28,,2020-12-24,180
2021-02-12,23,10,,2020-12-23,180
2021-02-12,16,151,,2020-12-22,180
2021-02-12,4,12,,2020-12-21,180
2021-02-12,,,,2020-12-20,180
2021-02-12,,1,,2020-12-19,180
2021-02-12,12,30,4,2020-12-18,180
2021-02-12,19,9,,2020-12-17,180
2021-02-12,1,5,,2020-12-16,180
2021-02-12,2,2,,2020-12-15,180
2021-02-12,16,11,,2020-12-14,180
2021-02-12,,,,2020-12-13,180
2021-02-12,1,10,7,2020-12-12,180
2021-02-12,1,7,,2020-12-11,180
2021-02-12,,2,,2020-12-10,180
2021-02-12,,,,2020-12-09,180
2021-02-12,,2,,2020-12-08,180
2021-02-12,,1,,2020-12-07,180
2021-02-12,,3,,2020-12-06,180
2021-02-12,,2,,2020-12-05,180
2021-02-12,,,,2020-12-04,180
2021-02-12,,,,2020-12-03,180
2021-02-12,,42,,2020-12-02,180
2021-02-12,,42,,2020-12-01,180
2021-02-12,,50,,2020-11-30,180
2021-02-12,,,,2020-11-29,180
2021-02-12,,,,2020-11-28,180
2021-02-12,,26,,2020-11-27,180
2021-02-12,,30,,2020-11-26,180
2021-02-12,,,,2020-11-25,180
2021-02-12,,,2,2020-11-24,180
2021-02-12,,1,,2020-11-23,180
2021-02-12,,2,,2020-11-22,180
2021-02-12,,2,,2020-11-21,180
2021-02-12,,2,,2020-11-20,180
2021-02-12,3,10,,2020-11-19,180
2021-02-12,,,,2020-11-18,180
2021-02-12,,,,2020-11-17,180
2021-02-12,,1,,2020-11-16,180
2021-02-12,,,,2020-11-15,180
2021-02-12,,,,2020-11-14,180
2021-02-12,2,10,1,2020-11-13,180
2021-02-12,,1,,2020-11-12,180
2021-02-12,,,,2020-11-11,180
2021-02-12,,1,,2020-11-10,180
2021-02-12,,2,,2020-11-09,180
2021-02-12,,,,2020-11-08,180
2021-02-12,,3,,2020-11-07,180
2021-02-12,,1,,2020-11-06,180
2021-02-12,,1,,2020-11-05,180
2021-02-12,,,,2020-11-04,180
2021-02-12,,2,1,2020-11-03,180
2021-02-12,,1,,2020-11-02,180
2021-02-12,,2,,2020-11-01,180
2021-02-12,,,,2020-10-31,180
2021-02-12,,1,,2020-10-30,180
2021-02-12,,2,,2020-10-29,180
2021-02-12,,,,2020-10-28,180
2021-02-12,,,,2020-10-27,180
2021-02-12,,1,,2020-10-26,180
2021-02-12,,,,2020-10-25,180
2021-02-12,,,,2020-10-24,180
2021-02-12,,,,2020-10-23,180
2021-02-12,,,,2020-10-22,180
2021-02-12,,1,,2020-10-21,180
2021-02-12,,5,,2020-10-20,180
2021-02-12,,1,,2020-10-19,180
2021-02-12,,,,2020-10-18,180
2021-02-12,,,,2020-10-17,180
2021-02-12,,1,,2020-10-16,180
2021-02-12,,,1,2020-10-15,180
2021-02-12,,,,2020-10-14,180
2021-02-12,,1,,2020-10-13,180
2021-02-12,,1,,2020-10-12,180
2021-02-12,,,,2020-10-11,180
2021-02-12,,1,,2020-10-10,180
2021-02-12,,,,2020-10-09,180
2021-02-12,,,,2020-10-08,180
2021-02-12,,1,,2020-10-07,180
2021-02-12,,1,,2020-10-06,180
2021-02-12,,2,,2020-10-05,180
2021-02-12,,,,2020-10-04,180
2021-02-12,,1,,2020-10-03,180
2021-02-12,,2,,2020-10-02,180
2021-02-12,,2,1,2020-10-01,180
2021-02-12,,1,,2020-09-30,180
2021-02-12,,,,2020-09-29,180
2021-02-12,,1,,2020-09-28,180
2021-02-12,,,,2020-09-27,180
2021-02-12,,,,2020-09-26,180
2021-02-12,,,,2020-09-25,180
2021-02-12,,,,2020-09-24,180
2021-02-12,,1,,2020-09-23,180
2021-02-12,,1,,2020-09-22,180
2021-02-12,,1,,2020-09-21,180
2021-02-12,,,,2020-09-20,180
2021-02-12,,,,2020-09-19,180
2021-02-12,,,,2020-09-18,180
2021-02-12,,2,,2020-09-17,180
2021-02-12,,1,,2020-09-16,180
2021-02-12,,2,,2020-09-15,180
2021-02-12,,1,,2020-09-14,180
2021-02-12,,,,2020-09-13,180
2021-02-12,,,,2020-09-12,180
2021-02-12,,,,2020-09-11,180
2021-02-12,,,,2020-09-10,180
2021-02-12,,3,,2020-09-09,180
2021-02-12,,,,2020-09-08,180
2021-02-12,,1,,2020-09-07,180
2021-02-12,,1,,2020-09-06,180
2021-02-12,,2,,2020-09-05,180
2021-02-12,,,,2020-09-04,180
2021-02-12,,1,,2020-09-03,180
2021-02-12,,1,,2020-09-02,180
2021-02-12,,2,,2020-09-01,180
2021-02-12,,1,,2020-08-31,180
2021-02-12,,,,2020-08-30,180
2021-02-12,,,,2020-08-29,180
2021-02-12,,,,2020-08-28,180
2021-02-12,,,,2020-08-27,180
2021-02-12,,1,,2020-08-26,180
2021-02-12,,2,,2020-08-25,180
2021-02-12,,1,,2020-08-24,180
2021-02-12,,,,2020-08-23,180
2021-02-12,,,,2020-08-22,180
2021-02-12,,,,2020-08-21,180
